id,name,intervals,partner,retrograde_of,degenerate,reduces_to,berliner,row_forms,palindromic,literal_span_semitones,bounded_span_semitones
6-60I,M2-M7-m7-P4-M7-m3,"2 11 10 5 11 3",6-60,6-150,false,,6-41,24,false,84,11
6-61,m2-M2-P5-M3-M6-P5,"1 2 7 4 9 7",6-61I,6-170I,false,,6-42,24,false,60,11
6-61I,m3-P4-M7-m7-P4-m6,"3 5 11 10 5 8",6-61,6-170,false,,6-42,24,false,84,11
6-62,m2-M2-P5-P5-m3-m7,"1 2 7 7 3 10",6-62I,6-222I,false,,6-43,24,false,60,11
6-62I,M2-M7-m7-P4-P4-M6,"2 11 10 5 5 9",6-62,6-222,false,,6-43,24,false,84,11
6-63,m2-M2-P5-P5-M6-M3,"1 2 7 7 9 4",6-63I,6-135I,false,,6-44,24,false,60,11
6-63I,m3-m6-M7-m7-P4-P4,"3 8 11 10 5 5",6-63,6-135,false,,6-44,24,false,84,11
6-64,m2-M2-P5-m7-m3-P5,"1 2 7 10 3 7",6-64I,6-159I,false,,6-45,24,false,60,11
6-64I,M2-M6-P4-M7-m7-P4,"2 9 5 11 10 5",6-64,6-159,false,,6-45,24,false,84,11
6-65,m2-M2-m6-m3-M2-M2,"1 2 8 3 2 2",6-65I,6-46I,false,,6-27,24,false,36,11
6-65I,M3-M6-m7-m7-M7-m7,"4 9 10 10 11 10",6-65,6-46,false,,6-27,24,false,108,11
6-66,m2-M2-m6-m3-m6-m6,"1 2 8 3 8 8",6-66I,6-191I,false,,6-46,24,false,60,11
6-66I,M3-M3-M7-m7-M3-M6,"4 4 11 10 4 9",6-66,6-191,false,,6-46,24,false,84,11
6-67,m2-M2-m6-P4-M3-m7,"1 2 8 5 4 10",6-67I,6-226I,false,,6-47,24,false,60,11
6-67I,M2-M7-m7-M3-P5-m6,"2 11 10 4 7 8",6-67,6-226,false,,6-47,24,false,84,11
6-68,m2-M2-m6-P4-m7-M3,"1 2 8 5 10 4",6-68I,6-140I,false,,6-48,24,false,60,11
6-68I,M2-m6-M7-m7-M3-P5,"2 8 11 10 4 7",6-68,6-140,false,,6-48,24,false,84,11
6-69,m2-M2-m6-M6-M2-m6,"1 2 8 9 2 8",6-69I,6-179I,false,,6-49,24,false,60,11
6-69I,m3-m7-M3-M7-m7-M3,"3 10 4 11 10 4",6-69,6-179,false,,6-49,24,false,84,11
